sample_size,feature_set,model,fold_number,accuracy,positive_accuracy,negative_accuracy,gene_accuracy
40000,huffman_negative,neural,1,0.6689,0.6742053789731052,0.6637863315003928,0.785064935064935
40000,huffman_negative,random_forest,1,0.7019,0.6758353708231459,0.7270227808326787,0.7987012987012987
40000,huffman_negative,tree,1,0.6042,0.6067644661776691,0.6017282010997643,0.7454545454545455
40000,huffman_negative,average_ensemble,1,0.3347,0.6819478402607987,0.0,0.7928571428571428
40000,huffman_negative,nn_0_fallback,1,0.6921,0.8227383863080685,0.5661822466614297,0.8194805194805195
40000,huffman_negative,nn_1_fallback,1,0.6787,0.5273023634881826,0.8246268656716418,0.7863636363636364
40000,huffman_negative,neural,2,0.6615,0.6244326031182159,0.6995742955605109,0.7937619350732018
40000,huffman_negative,random_forest,2,0.6941,0.6544306295638445,0.7348469491181837,0.8052196053469128
40000,huffman_negative,tree,2,0.5963,0.5930530886125913,0.5996351104804378,0.7498408656906429
40000,huffman_negative,average_ensemble,2,0.3194,0.6303532662324847,0.0,0.7956715467854869
40000,huffman_negative,nn_0_fallback,2,0.6876,0.7872508387606079,0.5852422460977093,0.8236791852323361
40000,huffman_negative,nn_1_fallback,2,0.668,0.49161239392145256,0.8491789985809852,0.7835773392743476
