,model,f1_score,total_accuracy,weighted_f1_score,weighted_basic_score,true_positive_accuracy,true_negative_accuracy,guessing_positive_accuracy,guessing_negative_accuracy,number_of_positive_guesses,number_of_negative_guesses,number_of_true_positives,number_of_true_negatives,number_of_false_positives_per_false_negative,number_of_false_negatives_per_false_positive
0,dumb_guesser,0.7555715213396521,0.607163476484434,0.6423244517630474,0.47310600282752074,0.607163476484434,0.0,1.0,0.0,1722609.0,1114533.0,2837142.0,0.0,0.0,inf
1,dumb_motif_guesser,0.7680039668020697,0.6349874938319341,0.6664711935791717,0.49154468667277235,0.6371631427615235,0.5951443877721129,0.9664670172491243,0.0822039628015287,1691659.749767442,1014412.5795348838,2565957.1981395353,140115.1311627907,0.060929048679605476,16.412532637075717
2,decision_tree,0.6936920247550753,0.5927057295853971,0.628888834472208,0.39945979038357776,0.6890323445734423,0.39771571783817017,0.6984151575569686,0.3871862742182041,1479216.9851162792,760838.8269767442,1499360.04,740695.7720930233,0.9567979669631513,1.045152722443559
3,random_forest_basic,0.7903504045200265,0.707969652813275,0.7422683457796149,0.5534656760227253,0.7849863533010433,0.527205666708724,0.7957882685209251,0.5109280804810228,1549923.496744186,690778.774883721,1571251.4372093023,669450.8344186046,0.9368697939500216,1.067384183434722
4,neural_net,0.737195054585937,0.6417756826670742,0.6779244225615318,0.4635759739464948,0.7273670008606328,0.4505971366828332,0.7472923358992715,0.42526982405229463,1513883.3776744187,737808.7060465117,1555354.3730232557,696337.7106976744,0.9022004889975552,1.1084010840108398
5,dumb_guesser,0.7555715213396521,0.607163476484434,0.6423244517630474,0.47310600282752074,0.607163476484434,0.0,1.0,0.0,1722609.0,1114533.0,2837142.0,0.0,0.0,inf
6,dumb_motif_guesser,0.7665843057305235,0.6329078812812636,0.6647050084043036,0.4892799698784672,0.6357132120816366,0.5815248495224112,0.9653072783233708,0.08016743573578303,1690609.2530232558,1016675.1879069767,2567128.3618604653,140156.07906976744,0.06271777003484322,15.944444444444443
7,decision_tree,0.6954151759326905,0.5949483075547337,0.631143422269057,0.4021671126929721,0.6915267546446908,0.4000456267191585,0.6993475733034056,0.3912165765044319,1479863.4446511627,758333.7962790697,1496599.953488372,741597.2874418604,0.9637471928136027,1.0376165113182425
8,random_forest_basic,0.7821511681300715,0.697089231316686,0.7316690197740666,0.5383077063442973,0.774113712376711,0.5152513959973957,0.7903572773155901,0.49140865581532117,1545802.3172093024,700960.5125581396,1578238.56,668524.2697674419,0.9090153718321562,1.1000914076782449
9,neural_net,0.7195530871940192,0.6263409350298497,0.6628034515904077,0.4414505640740978,0.7268185302502241,0.43170788440809604,0.712431460553163,0.44928293309758877,1488994.6855813954,723990.6334883721,1459520.656744186,753464.6623255813,1.0739227340267459,0.9311656866136285
10,dumb_guesser,0.7555715213396521,0.607163476484434,0.6423244517630474,0.47310600282752074,0.607163476484434,0.0,1.0,0.0,1722609.0,1114533.0,2837142.0,0.0,0.0,inf
11,dumb_motif_guesser,0.7666704497596771,0.6327991167444642,0.6645847788444116,0.48942438831121887,0.6353295365544428,0.5851816429313439,0.9664670172491243,0.07857365530227008,1691659.749767442,1018452.9516279069,2573362.733023256,136749.96837209302,0.06044823232323232,16.54308093994778
12,decision_tree,0.6947510885960909,0.5937557914970003,0.629966566559338,0.40086311186389245,0.6896483318077649,0.3987522745968213,0.6999299195795942,0.3871862742182041,1480267.4818604651,760838.8269767442,1502335.9758139537,738770.3330232559,0.9526683608640407,1.049683227742581
