,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
A0A286YEV6,6,0,6,0,1,0
A0A3B3IT33,30,0,30,0,13,0
A6NFH5,14,3,11,3,9,0
A6NI73,30,0,30,0,11,0
A6NJR5,19,0,19,0,10,0
A6NL46,31,2,29,2,15,0
A6NNC1,143,1,142,1,75,0
A8MV72,27,1,26,1,13,0
A8MVM7,61,0,61,0,32,0
O00165,33,8,25,6,24,0
O43598,13,6,7,2,5,0
O43825,27,0,27,0,9,0
O43866,23,0,23,0,10,0
O95210,54,19,35,18,44,0
O95298,2,0,2,0,0,0
O95445,11,0,11,0,0,0
P01116,11,2,9,2,7,0
P03901,8,0,8,0,0,0
P04432,18,0,18,0,6,0
P07492,13,0,13,0,6,0
P0C7T7,29,0,29,0,15,0
P17081,7,1,6,1,2,0
P22304,45,0,45,0,16,0
P29972,22,1,21,0,3,0
P30793,17,2,15,2,7,0
P42224,60,12,48,4,14,0
P46821,449,155,294,111,279,0
P48739,10,1,9,1,6,0
P49716,17,3,14,3,10,0
P51149,12,4,8,3,6,0
P62760,9,0,9,0,3,0
Q0P6D6,54,5,49,5,29,0
Q12791,144,15,129,13,69,0
Q12918,30,0,30,0,6,0
Q14642,27,0,27,0,14,0
Q15019,18,5,13,4,11,0
Q15818,29,1,28,1,18,0
Q1RN00,20,0,20,0,7,0
Q2NL68,75,7,68,7,48,0
Q3SXY8,19,3,16,3,12,0
Q53H64,5,0,5,0,1,0
Q58FF8,31,5,26,3,9,0
Q5FYB1,35,0,35,0,13,0
Q5VUG0,63,4,59,2,32,0
Q5W150,9,0,9,0,5,0
Q5XG85,8,0,8,0,4,0
Q6JHZ5,10,0,10,0,4,0
Q6STE5,43,7,36,6,21,0
Q6ZS27,27,0,27,0,8,0
Q6ZS92,15,0,15,0,6,0
Q6ZSR6,19,0,19,0,4,0
Q6ZT98,80,0,80,0,42,0
Q6ZVT6,92,1,91,1,46,0
Q86VK4,61,0,61,0,24,0
