,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
A0A286YEV6,6,0,6,6,0,6
A0A3B3IT33,30,0,30,23,7,23
A6NFH5,14,3,11,6,11,3
A6NI73,30,0,30,20,10,20
A6NJR5,19,0,19,9,10,9
A6NL46,31,2,29,15,18,13
A6NNC1,143,1,142,69,75,68
A8MV72,27,1,26,12,16,11
A8MVM7,61,0,61,37,24,37
O00165,33,8,25,16,25,8
O43598,13,6,7,6,9,4
O43825,27,0,27,17,10,17
O43866,23,0,23,8,15,8
O95210,54,19,35,27,42,12
O95298,2,0,2,1,1,1
O95445,11,0,11,7,4,7
P01116,11,2,9,8,5,6
P03901,8,0,8,8,0,8
P04432,18,0,18,14,4,14
P07492,13,0,13,5,8,5
P0C7T7,29,0,29,13,16,13
P17081,7,1,6,5,3,4
P22304,45,0,45,31,14,31
P29972,22,1,21,18,5,17
P30793,17,2,15,11,8,9
P42224,60,12,48,43,11,49
P46821,449,155,294,247,253,196
P48739,10,1,9,6,5,5
P49716,17,3,14,8,12,5
P51149,12,4,8,7,9,3
P62760,9,0,9,2,7,2
Q0P6D6,54,5,49,35,20,34
Q12791,144,15,129,96,55,89
Q12918,30,0,30,23,7,23
Q14642,27,0,27,11,16,11
Q15019,18,5,13,9,10,8
Q15818,29,1,28,16,14,15
Q1RN00,20,0,20,13,7,13
Q2NL68,75,7,68,39,43,32
Q3SXY8,19,3,16,12,10,9
Q53H64,5,0,5,3,2,3
Q58FF8,31,5,26,19,17,14
Q5FYB1,35,0,35,22,13,22
Q5VUG0,63,4,59,30,37,26
Q5W150,9,0,9,7,2,7
Q5XG85,8,0,8,2,6,2
Q6JHZ5,10,0,10,6,4,6
Q6STE5,43,7,36,21,27,16
Q6ZS27,27,0,27,14,13,14
Q6ZS92,15,0,15,7,8,7
Q6ZSR6,19,0,19,15,4,15
Q6ZT98,80,0,80,42,38,42
Q6ZVT6,92,1,91,50,43,49
Q86VK4,61,0,61,36,25,36
Q86W54,15,0,15,7,8,7
Q86W74,14,0,14,12,2,12
Q8IUF8,38,6,32,23,19,19
Q8N814,10,0,10,5,5,5
Q8N976,14,0,14,6,8,6
Q8N9P0,19,0,19,9,10,9
Q8NDY8,17,0,17,11,6,11
Q8NGK5,21,0,21,20,1,20
Q8NGQ5,22,0,22,18,4,18
Q8TAI7,14,0,14,10,4,10
Q8TBE9,12,1,11,6,7,5
Q8TER0,104,0,104,64,40,64
Q96A70,33,1,32,23,11,22
Q96BN8,14,1,13,8,7,7
Q96C45,117,5,112,69,51,66
Q96DC9,16,0,16,12,4,12
Q96F07,78,3,75,50,27,51
Q96GS4,43,10,33,22,17,26
Q96HM7,21,0,21,11,10,11
Q96HQ2,8,0,8,5,3,5
Q96S07,27,0,27,14,13,14
Q99675,28,1,27,19,10,18
Q9BRT6,3,0,3,2,1,2
Q9BVW5,19,4,15,10,7,12
Q9BW04,116,35,81,54,91,25
Q9BYR6,5,0,5,4,1,4
Q9BZS9,3,1,2,2,2,1
Q9H0H0,95,0,95,64,31,64
Q9H0Q3,4,0,4,2,2,2
Q9H4I9,13,0,13,8,5,8
Q9H521,3,0,3,2,1,2
Q9H6L4,16,1,15,10,7,9
Q9HAT2,40,1,39,24,17,23
Q9NPF2,19,0,19,14,5,14
Q9NQA5,48,7,41,36,17,31
