,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
A0A286YEV6,6,0,6,6,0,6
A0A3B3IT33,30,0,30,16,14,16
A6NFH5,14,3,11,10,3,11
A6NI73,30,0,30,15,15,15
A6NJR5,19,0,19,7,12,7
A6NL46,31,2,29,15,18,13
A6NNC1,143,1,142,57,85,58
A8MV72,27,1,26,11,17,10
A8MVM7,61,0,61,29,32,29
O00165,33,8,25,16,23,10
O43598,13,6,7,6,7,6
O43825,27,0,27,20,7,20
O43866,23,0,23,15,8,15
O95210,54,19,35,29,38,16
O95298,2,0,2,1,1,1
O95445,11,0,11,9,2,9
P01116,11,2,9,8,5,6
P03901,8,0,8,8,0,8
P04432,18,0,18,11,7,11
P07492,13,0,13,2,11,2
P0C7T7,29,0,29,8,21,8
P17081,7,1,6,5,1,6
P22304,45,0,45,25,20,25
P29972,22,1,21,18,3,19
P30793,17,2,15,10,9,8
P42224,60,12,48,38,24,36
P46821,449,155,294,234,308,141
P48739,10,1,9,5,6,4
P49716,17,3,14,9,11,6
P51149,12,4,8,7,5,7
P62760,9,0,9,6,3,6
Q0P6D6,54,5,49,29,30,24
Q12791,144,15,129,79,74,70
Q12918,30,0,30,23,7,23
Q14642,27,0,27,12,15,12
Q15019,18,5,13,10,11,7
Q15818,29,1,28,15,13,16
Q1RN00,20,0,20,10,10,10
Q2NL68,75,7,68,33,49,26
Q3SXY8,19,3,16,12,10,9
Q53H64,5,0,5,5,0,5
Q58FF8,31,5,26,19,13,18
Q5FYB1,35,0,35,21,14,21
Q5VUG0,63,4,59,34,33,30
Q5W150,9,0,9,5,4,5
Q5XG85,8,0,8,0,8,0
Q6JHZ5,10,0,10,8,2,8
Q6STE5,43,7,36,21,27,16
Q6ZS27,27,0,27,23,4,23
Q6ZS92,15,0,15,7,8,7
Q6ZSR6,19,0,19,17,2,17
Q6ZT98,80,0,80,33,47,33
Q6ZVT6,92,1,91,42,51,41
Q86VK4,61,0,61,34,27,34
Q86W54,15,0,15,11,4,11
Q86W74,14,0,14,9,5,9
Q8IUF8,38,6,32,25,15,23
Q8N814,10,0,10,4,6,4
Q8N976,14,0,14,8,6,8
Q8N9P0,19,0,19,7,12,7
Q8NDY8,17,0,17,9,8,9
Q8NGK5,21,0,21,19,2,19
Q8NGQ5,22,0,22,15,7,15
Q8TAI7,14,0,14,12,2,12
Q8TBE9,12,1,11,9,2,10
Q8TER0,104,0,104,68,36,68
Q96A70,33,1,32,26,6,27
Q96BN8,14,1,13,9,6,8
Q96C45,117,5,112,71,51,66
Q96DC9,16,0,16,11,5,11
Q96F07,78,3,75,42,39,39
Q96GS4,43,10,33,18,33,10
Q96HM7,21,0,21,11,10,11
Q96HQ2,8,0,8,2,6,2
Q96S07,27,0,27,13,14,13
Q99675,28,1,27,18,11,17
Q9BRT6,3,0,3,0,3,0
Q9BVW5,19,4,15,9,12,7
Q9BW04,116,35,81,54,87,29
Q9BYR6,5,0,5,5,0,5
Q9BZS9,3,1,2,2,0,3
Q9H0H0,95,0,95,62,33,62
Q9H0Q3,4,0,4,3,1,3
Q9H4I9,13,0,13,3,10,3
Q9H521,3,0,3,2,1,2
Q9H6L4,16,1,15,9,8,8
Q9HAT2,40,1,39,28,13,27
Q9NPF2,19,0,19,12,7,12
Q9NQA5,48,7,41,27,24,24
Q9NRR2,29,0,29,18,11,18
Q9NX02,68,4,64,52,18,50
Q9NX08,12,0,12,7,5,7
Q9NXK8,22,0,22,12,10,12
Q9NZT2,77,28,49,35,60,17
Q9UET6,24,2,22,16,8,16
Q9UKG1,90,20,70,53,51,39
Q9UMX1,41,6,35,25,22,19
Q9Y274,14,0,14,9,5,9
Q9Y5P0,22,0,22,20,2,20
Q9Y6G9,68,26,42,39,37,31
A0A1B0GUV8,6,0,6,4,2,4
A2RUT3,8,0,8,6,2,6
A3QJZ6,36,0,36,21,15,21
A6NDV4,30,0,30,25,5,25
A6NEQ0,69,0,69,17,52,17
B7ZW38,33,6,27,10,29,4
O14867,95,13,82,63,35,60
O15519,39,2,37,25,16,23
O43310,53,5,48,28,30,23
O43513,10,1,9,4,5,5
O43572,97,19,78,56,52,45
O60242,135,4,131,93,46,89
O75078,56,3,53,41,16,40
O75095,80,0,80,73,7,73
O75113,97,27,70,52,54,43
O75643,141,23,118,85,61,80
O94956,68,3,65,51,20,48
O95800,58,0,58,42,16,42
O95816,30,10,20,15,15,15
P01036,9,3,6,5,5,4
P02741,23,0,23,17,6,17
P07384,59,11,48,29,35,24
P0C0S8,2,0,2,0,2,0
P0DJD9,44,0,44,40,4,40
P0DOY3,14,0,14,7,7,7
P0DX04,2,0,2,2,0,2
P14210,40,1,39,35,6,34
P19013,63,7,56,34,34,29
P20338,15,3,12,10,8,7
P30039,17,0,17,12,5,12
P35452,16,0,16,9,7,9
P37088,68,3,65,43,28,40
P45880,32,9,23,22,7,25
P51970,6,1,5,3,4,2
P53007,14,2,12,9,7,7
P55055,38,2,36,14,26,12
P56282,38,1,37,28,11,27
P58005,31,0,31,18,13,18
P60509,36,0,36,26,10,26
Q02318,25,1,24,16,10,15
Q04724,95,17,78,58,48,47
Q07954,318,10,308,254,62,256
Q13129,214,26,188,132,82,132
Q13526,35,13,22,16,22,13
Q14573,195,20,175,122,83,112
Q14602,3,0,3,0,3,0
Q15349,55,7,48,22,38,17
Q17RN3,23,0,23,15,8,15
Q3MIT2,37,4,33,20,19,18
Q494V2,49,1,48,14,36,13
Q53GD3,47,0,47,37,10,37
Q5SWX8,37,0,37,28,9,28
Q5TEC6,5,0,5,1,4,1
Q5THK1,286,29,257,175,128,158
Q5TYX0,27,0,27,23,4,23
Q5VT40,16,0,16,6,10,6
Q5VU36,156,0,156,103,53,103
Q5VXJ0,23,0,23,17,6,17
Q6ISB3,65,10,55,41,28,37
Q6URK8,17,0,17,11,6,11
Q6UWV6,19,0,19,8,11,8
Q7L0R7,34,0,34,19,15,19
Q7RTV3,26,4,22,14,16,10
Q7Z4Q2,51,0,51,33,18,33
Q7Z7K2,48,0,48,24,24,24
Q86UT6,60,2,58,38,24,36
Q86VE3,91,0,91,39,52,39
Q86X10,170,30,140,96,90,80
Q8N3U4,101,16,85,57,52,49
Q8N465,32,0,32,17,15,17
Q8N4C8,132,36,96,64,96,36
Q8N7R7,37,10,27,22,21,16
Q8NDT2,127,40,87,59,108,19
Q8NFP7,10,2,8,3,9,1
Q8WTU2,23,0,23,21,2,21
Q8WUM9,80,15,65,60,33,47
Q8WXG9,506,8,498,324,178,328
Q92905,25,3,22,17,9,16
Q969M1,16,0,16,13,3,13
Q96CA5,20,2,18,13,9,11
Q96DZ9,14,0,14,14,0,14
Q96GL9,14,0,14,9,5,9
Q96LS8,17,0,17,9,8,9
Q9BQT9,73,1,72,48,24,49
Q9BR76,41,6,35,26,17,24
Q9BYV6,35,1,34,18,18,17
Q9H0I9,43,0,43,33,10,33
Q9H2C5,16,0,16,16,0,16
Q9H4L5,155,44,111,86,91,64
Q9HB40,33,0,33,25,8,25
Q9NXK6,30,0,30,29,1,29
Q9P104,23,1,22,9,15,8
Q9P1D8,2,0,2,2,0,2
Q9P241,124,5,119,78,49,75
Q9UDX3,22,0,22,9,13,9
Q9UL59,55,1,54,46,10,45
Q9UMX6,5,0,5,3,2,3
Q9WJR5,50,0,50,33,17,33
Q9Y233,53,3,50,40,16,37
A0A5A2,7,0,7,3,4,3
A0A6Q8PGS0,2,0,2,0,2,0
A6NCL1,35,0,35,22,13,22
A8MWY0,96,3,93,74,25,71
O00444,128,18,110,61,79,49
O14508,14,0,14,8,6,8
O14657,16,0,16,13,3,13
O15400,32,12,20,14,30,2
O43194,53,4,49,37,20,33
O43304,53,0,53,30,23,30
O75444,36,1,35,16,21,15
O95487,159,6,153,110,51,108
P03886,19,0,19,16,3,16
P06133,36,0,36,26,10,26
P08185,37,0,37,29,8,29
P08F94,373,1,372,247,125,248
P09417,22,3,19,14,9,13
P09543,27,6,21,13,16,11
P0DMC3,2,0,2,2,0,2
P0DV77,18,0,18,9,9,9
P10997,7,0,7,7,0,7
P14415,9,0,9,8,1,8
P19875,5,0,5,2,3,2
P22528,1,0,1,1,0,1
P22692,14,0,14,6,8,6
P24752,31,5,26,20,10,21
P25398,4,1,3,3,2,2
P35269,82,33,49,37,64,18
P35372,35,5,30,24,14,21
P42681,41,0,41,20,21,20
P50225,16,2,14,10,8,8
P51684,31,0,31,25,6,25
P51801,55,0,55,41,14,41
P53985,43,6,37,32,15,28
P59773,18,0,18,8,10,8
P59797,26,0,26,12,14,12
P62910,9,3,6,6,4,5
P78386,47,0,47,30,17,30
P98164,352,14,338,273,83,269
Q04118,18,1,17,4,15,3
Q06945,94,11,83,37,64,30
Q09MP3,112,3,109,65,46,66
Q13114,53,5,48,35,19,34
Q13115,45,5,40,27,19,26
Q14674,194,24,170,113,97,97
Q14766,125,7,118,94,36,89
Q14957,103,1,102,59,45,58
Q15035,16,1,15,11,6,10
Q15057,82,16,66,35,61,21
Q16671,40,1,39,25,14,26
